date,kickoff_local,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,match_num,match_id,pool_status
2026-07-12,周日201,韩K联,仁川联队,FC安养,false,中国足彩网备用数据,1.95,3.00,3.55,周日201,2040486,
2026-07-12,周日202,韩K联,济州SK,大田市民,false,中国足彩网备用数据,2.95,3.10,2.14,周日202,2040487,
2026-07-12,周日203,韩K联,首尔FC,江原FC,false,中国足彩网备用数据,2.31,2.90,2.84,周日203,2040488,
2026-07-12,周日204,瑞典超,马尔默,哥德堡,false,中国足彩网备用数据,1.82,3.52,3.38,周日204,2040489,
2026-07-12,周日205,瑞典超,哈马比,卡尔马,false,中国足彩网备用数据,1.30,4.85,6.50,周日205,2040490,
2026-07-12,周日206,瑞典超,瓦斯特拉,代格福什,false,中国足彩网备用数据,1.96,3.20,3.26,周日206,2040491,
2026-07-12,周日207,挪超,KF奥斯陆,博德闪耀,false,中国足彩网备用数据,5.15,4.55,1.40,周日207,2040492,
2026-07-12,周日208,瑞典超,盖斯,埃夫斯堡,false,中国足彩网备用数据,1.77,3.40,3.70,周日208,2040493,
2026-07-12,周日209,瑞典超,布鲁马波,天狼星,false,中国足彩网备用数据,4.45,4.05,1.52,周日209,2040494,
2026-07-12,周日210,挪超,布兰,斯达,false,中国足彩网备用数据,1.28,4.95,6.90,周日210,2040495,
2026-07-12,周日211,挪超,罗森博格,克里斯蒂,false,中国足彩网备用数据,1.45,4.10,5.10,周日211,2040496,
2026-07-12,周日212,挪超,桑纳菲,汉坎,false,中国足彩网备用数据,1.73,3.65,3.60,周日212,2040497,
2026-07-12,周日213,挪超,萨普斯堡,维京,false,中国足彩网备用数据,3.72,4.05,1.63,周日213,2040498,
