date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-07-22,周三201,2026-07-22 18:30,韩K联,首尔FC,浦项制铁,false,中国足彩网备用数据,1.66,3.20,4.66,1.79,3.28,4.44,中国足彩网专业欧赔市场,true,false,false,周三201,2040584,
2026-07-22,周三202,2026-07-22 18:30,韩K联,富川FC,FC安养,false,中国足彩网备用数据,3.05,2.77,2.27,2.92,2.98,2.45,中国足彩网专业欧赔市场,false,false,false,周三202,2040585,
2026-07-22,周三203,2026-07-22 18:30,韩K联,光州FC,金泉尚武,false,中国足彩网备用数据,4.15,2.95,1.82,3.91,3.26,1.91,中国足彩网专业欧赔市场,false,false,false,周三203,2040586,
2026-07-22,周三204,2026-07-23 01:00,挪超,博德闪耀,汉坎,false,中国足彩网备用数据,0,0,0,1.10,9.66,17.67,中国足彩网专业欧赔市场,false,false,false,周三204,2040587,
2026-07-22,周三205,2026-07-23 01:00,挪超,利勒斯特,维京,false,中国足彩网备用数据,2.94,3.69,1.93,2.97,3.60,2.17,中国足彩网专业欧赔市场,true,false,false,周三205,2040588,
2026-07-22,周三206,2026-07-23 07:30,美职联,迈阿密,芝加哥,false,中国足彩网备用数据,1.97,3.82,2.78,2.09,3.98,2.90,中国足彩网专业欧赔市场,false,false,false,周三206,2040589,
2026-07-22,周三207,2026-07-23 08:30,巴西甲,沙佩科,弗拉门戈,false,中国足彩网备用数据,6.95,4.50,1.31,6.79,4.24,1.45,中国足彩网专业欧赔市场,false,false,false,周三207,2040590,
2026-07-22,周三208,2026-07-23 08:30,巴西甲,圣保罗,巴竞技,false,中国足彩网备用数据,1.82,3.05,3.96,1.98,3.20,3.85,中国足彩网专业欧赔市场,false,false,false,周三208,2040591,
2026-07-22,周三209,2026-07-23 10:30,美职联,洛杉矶,盐湖城,false,中国足彩网备用数据,1.52,4.15,4.35,1.69,4.03,4.21,中国足彩网专业欧赔市场,false,false,false,周三209,2040592,
2026-07-22,周三210,2026-07-23 01:00,欧冠,奥莫尼亚,图凯拉特,false,中国足彩网备用数据,1.56,3.60,4.75,1.69,3.61,4.68,中国足彩网专业欧赔市场,false,false,false,周三210,2040596,
