team,elo,attack,defense,form,injury,rest_days,home_adv
AC奥卢,1836,-0.022,0.000,0.000,0.000,4,0.000
Argentina,2140,0.18,0.16,0.08,-0.03,4,0.02
Belgium,1985,0.10,0.06,0.03,-0.04,4,0.00
Djurgården,1850,0.000,0.000,0.000,0.000,4,0.080
England,2055,0.13,0.12,0.06,-0.02,4,0.02
FC安养,1797,-0.081,0.000,0.000,0.000,4,0.000
France,2110,0.17,0.17,0.08,-0.02,4,0.01
Halmstads BK,1850,-0.000,0.000,0.000,0.000,4,0.000
KF奥斯陆,1746,-0.160,0.000,0.000,0.000,4,0.080
Morocco,1915,0.05,0.10,0.04,-0.03,4,0.00
Norway,1905,0.11,0.02,0.05,-0.02,4,0.00
Spain,2090,0.16,0.13,0.07,-0.02,4,0.00
Switzerland,1940,0.06,0.10,0.03,-0.02,4,0.00
TPS图尔,1864,0.022,0.000,0.000,0.000,4,0.080
中日德兰,1809,-0.062,0.000,0.000,0.000,4,0.000
亚特联,1741,-0.168,0.000,0.000,0.000,4,0.000
仁川联队,1903,0.081,0.000,0.000,0.000,4,0.080
代格福什,1805,-0.070,0.000,0.000,0.000,4,0.000
伏伊伏丁,1735,-0.176,0.000,0.000,0.000,4,0.000
佐加顿斯,1967,0.180,0.000,0.000,0.000,4,0.080
光州FC,1787,-0.096,0.000,0.000,0.000,4,0.080
克拉克斯,1848,-0.003,0.000,0.000,0.000,4,0.000
克里斯蒂,1749,-0.156,0.000,0.000,0.000,4,0.000
全北现代,1879,0.045,0.000,0.000,0.000,4,0.000
利勒斯特,1887,0.056,0.000,0.000,0.000,4,0.000
博塔弗戈,1896,0.071,0.000,0.000,0.000,4,0.080
博德闪耀,1954,0.160,0.000,0.000,0.000,4,0.000
卡尔马,1733,-0.180,0.000,0.000,0.000,4,0.000
厄格里特,1743,-0.164,0.000,0.000,0.000,4,0.080
哈斯塔德,1733,-0.180,0.000,0.000,0.000,4,0.000
哈马比,1967,0.180,0.000,0.000,0.000,4,0.080
哥德堡,1795,-0.084,0.000,0.000,0.000,4,0.000
图凯拉特,1933,0.128,0.000,0.000,0.000,4,0.000
圣保罗,1908,0.090,0.000,0.000,0.000,4,0.080
圣加仑,1733,-0.180,0.000,0.000,0.000,4,0.080
圣路易斯,1961,0.171,0.000,0.000,0.000,4,0.080
埃夫斯堡,1786,-0.099,0.000,0.000,0.000,4,0.000
堪萨斯城,1739,-0.171,0.000,0.000,0.000,4,0.000
塞纳乔琪,1822,-0.043,0.000,0.000,0.000,4,0.080
多伦多,1810,-0.062,0.000,0.000,0.000,4,0.000
大田市民,1879,0.045,0.000,0.000,0.000,4,0.000
天狼星,1939,0.137,0.000,0.000,0.000,4,0.000
奥勒松,1800,-0.078,0.000,0.000,0.000,4,0.080
奥卢,1882,0.049,0.000,0.000,0.000,4,0.080
奥尔格里,1751,-0.152,0.000,0.000,0.000,4,0.000
奥莫尼亚,1935,0.131,0.000,0.000,0.000,4,0.080
安德莱赫,1827,-0.036,0.000,0.000,0.000,4,0.000
富川FC,1834,-0.025,0.000,0.000,0.000,4,0.080
尼卡斯克,1767,-0.128,0.000,0.000,0.000,4,0.080
巴伊亚,1966,0.179,0.000,0.000,0.000,4,0.080
巴竞技,1792,-0.090,0.000,0.000,0.000,4,0.000
布兰,1967,0.180,0.000,0.000,0.000,4,0.080
布拉干,1783,-0.103,0.000,0.000,0.000,4,0.000
布鲁马波,1761,-0.137,0.000,0.000,0.000,4,0.080
帕佛斯FC,1810,-0.062,0.000,0.000,0.000,4,0.000
库普斯,1878,0.043,0.000,0.000,0.000,4,0.000
弗拉门戈,1967,0.180,0.000,0.000,0.000,4,0.000
弗鲁米嫩,1917,0.103,0.000,0.000,0.000,4,0.080
德里城,1793,-0.088,0.000,0.000,0.000,4,0.080
拉赫蒂,1816,-0.052,0.000,0.000,0.000,4,0.080
挪威,1779,-0.110,0.000,0.000,0.000,4,0.080
斯海杜克,1879,0.044,0.000,0.000,0.000,4,0.000
斯达,1733,-0.180,0.000,0.000,0.000,4,0.000
日利纳,1821,-0.044,0.000,0.000,0.000,4,0.080
本菲卡,1967,0.180,0.000,0.000,0.000,4,0.000
格雷米奥,1793,-0.088,0.000,0.000,0.000,4,0.000
桑托斯,1804,-0.071,0.000,0.000,0.000,4,0.000
桑纳菲,1914,0.098,0.000,0.000,0.000,4,0.080
汉坎,1786,-0.098,0.000,0.000,0.000,4,0.000
江原FC,1831,-0.029,0.000,0.000,0.000,4,0.000
沙佩科,1734,-0.179,0.000,0.000,0.000,4,0.000
法国,1911,0.094,0.000,0.000,0.000,4,0.080
波特兰,1746,-0.160,0.000,0.000,0.000,4,0.000
洛城银河,1827,-0.035,0.000,0.000,0.000,4,0.080
洛杉矶,1873,0.035,0.000,0.000,0.000,4,0.000
济州SK,1821,-0.045,0.000,0.000,0.000,4,0.080
浦项制铁,1867,0.027,0.000,0.000,0.000,4,0.000
温哥华,1864,0.021,0.000,0.000,0.000,4,0.000
特温特,1947,0.149,0.000,0.000,0.000,4,0.080
特罗姆瑟,1929,0.122,0.000,0.000,0.000,4,0.080
玛丽港,1733,-0.180,0.000,0.000,0.000,4,0.000
瑞士,1752,-0.151,0.000,0.000,0.000,4,0.000
